Title,Author,Year,Subjects
Dandiesanddesertsaints :styles of Victorianmasculinity,James 1995,,"['English literature--19 thcentury--Historyandcriticism.', 'Englishliterature--Maleauthors--Historyandcriticism.', 'Great Britain--Intellectuallife--19 thcentury.', 'Masculinityinliterature.', 'Gender Eli Adams. identityin literature.', 'Aestheticism(Literature)', 'Patriarchyinliterature.', 'Sexroleinliterature.', 'Dandiesin literature.', 'Meninliterature.']"
Genderroles and sexualityin Victorianliterature,editedby 1995,,"['English literature--19 thcentury--Historyandcriticism.', 'Sexinliterature.', 'Womenandliterature--Great Britain--History--19 thcentury.', 'Genderidentityinliterature.', 'Sexroleinliterature. Christopher Parker.']"
"Passionmadepublic :Elizabethan lyric, gender, andperformance c 1995",,,"['Englishpoetry--Earlymodern,1500-1700--Historyandcriticism.', 'Lovepoetry,English--Historyandcriticism.', 'Elizabeth--I,--Queenof England,--1533-1603--Inliterature.', 'Womenand Diana E.Henderson. |literature--England--History--16 thcentury.', 'Performingarts--England--History--16 thcentury.', 'Man-womanrelationshipsinliterature.', 'Genderidentityin literature.', 'Poetry--Psychological aspects.', 'Sexroleinliterature.:Emotionsinliterature.']"
Gender and medievaldrama,Katie Normington,2004,"['Mysteriesandmiracle-plays, English--Historyandcriticism.', 'Christianityandliterature--England--History--To 1500.', 'Christiandrama,English(Middle)--Historyandcriticism.', 'Womenand |literature--England--History--To 1500.', 'Englishdrama--To 1500--Historyandcriticism.', 'Bibleplays, English--Historyandcriticism.', 'Corpus Christi Festival--England.', 'Genderidentityin |literature.', 'Sexrole inliterature.', 'Womeninliterature.']"
Enactinggenderonthe English Renaissancestage,editedby c 1999,,"['Englishdrama--Earlymodernand Elizabethan,1500-1600--Historyandcriticism.', 'Sexroleinliterature.', 'Englishdrama--17 thcentury--Historyandcriticism.', 'Genderidentityinliterature.', 'Viviana Comensoli &Anne Russell. Renaissance--England.', 'Womeninliterature.', 'Menin literature.']"
Gender and literacyonstageinearlymodern England,Eve 1998,,"['Englishdrama--Earlymodernand Elizabethan,1500-1600--Historyand criticism.', 'Sexroleinliterature.', 'Literatureandsociety--England--History--16 th century.', 'Literatureand society-- Rachele Sanders. England--History--17 thcentury.', 'Englishdrama--17 thcentury--Historyandcriticism.', 'Literacy--England--History--16 thcentury.', 'Theater--England--History--16 thcentury.', 'Genderidentityin literature.']"
Brokenboundaries:women&feminism in Restorationdrama,c 1996,,"['Englishdrama--Restoration,1660-1700--Historyandcriticism.', 'Feminismandliterature--England--History--17 thcentury.', 'Literatureandsociety--England--History--17 thcentury.', 'Womenin Katherine M.Quinsey,editor. thetheater--England--History--17 thcentury.', 'Womenandliterature--England--History--17 thcentury.', 'Theater--England--History--17 thcentury.', 'Genderidentityinliterature.', 'Sexrolein literature.:Womeninliterature.']"
Schools ofsympathy:genderandidentificationthroughthenovel,c 1997,,"['Englishfiction--Historyandcriticism.', 'Feminismandliterature--Great Britain--History.', 'Americanfiction--Historyandcriticism.', 'Genderidentityinliterature.', 'Feminismandliterature.', 'Nancy Roberts. Sympathyin literature.', 'Victimsinliterature.', 'Womeninliterature.']"
Gothic feminism :theprofessionalizationofgenderfrom Charlotte c 1998,,,"['Horrortales, English--Historyandcriticism.', 'Feminismandliterature--Great Britain--History--18 thcentury.', 'Feminismandliterature--Great Britain--History--19 th century.', 'Englishfiction-- Smithtothe Brontës /Diane Long Hoeveler. Womenauthors--Historyand criticism.', 'Gothicrevival(Literature)--Great Britain.', 'Genderidentityinliterature.', 'Femininityinliterature.', 'Sexroleinliterature.']"
Regulatingreaders :genderand literarycriticisminthe eighteenth- c 1999,,,"['Englishfiction--18 thcentury--Historyandcriticism.', 'Authorsandreaders--England--History--18 thcentury.', 'Didacticfiction,English--Historyandcriticism.', 'Criticism--Great Britain--History-- centurynovel/Ellen Gardiner. 18 thcentury.', 'Fiction--Historyandcriticism--Theory,etc.', 'Genderidentityinliterature.', 'Reader-responsecriticism.', 'Sexroleinliterature.']"
Thetraumaofgender: afeministtheoryofthe Englishnovel,c 2001,,"['Englishfiction--18 thcentury--Historyandcriticism.', 'Feminismandliterature--Great Britain--History--18 thcentury.', 'Englishfiction--Maleauthors--Historyandcriticism.', 'Sexrolein Helene Moglen. literature.', 'Sexin literature.', 'Genderidentityinliterature.', 'Feministliterarycriticism.', 'Womenin literature.']"
"Bringingtravelhometo England :tourism,gender,and imaginative c 2009",,,"['English fiction--18 thcentury--Historyandcriticism.', 'Travelinliterature.', 'Genderidentityinliterature.', 'Literatureandsociety--England--History--18 thcentury.', 'England--Sociallifeand literatureintheeighteenthcentury/Susan Lamb. customs--18 thcentury.', 'Travelers--England--History--18 thcentury.', 'Richardson,Samuel,--1689-1761--Criticismandinterpretation.']"
Themodernandrogyne imagination:a failedsublime,Lisa Rado,2000,"['Englishfiction--20 thcentury--Historyandcriticism.', 'Androgyny(Psychology)inliterature.', 'H.D.--(Hilda Doolittle),--1886-1961--Criticismandinterpretation.', 'Faulkner,William,--1897- 1962--Criticism andinterpretation.', 'Woolf,Virginia,--1882-1941--Criticismandinterpretation.', 'Joyce,James,--1882-1941--Criticismandinterpretation.', 'Americanliterature--20 thcentury-- Historyandcriticism.', 'Modernism(Literature)--United States.', 'Modernism(Literature)--Great Britain.:Genderidentityinliterature.']"
Othersexes:rewritingdifferencefrom Woolfto Winterson,c 2000,1959,"['Englishfiction--Womenauthors--Historyandcriticism.', 'Feminismandliterature--Great Britain--History--20 thcentury.', 'Feminismandliterature--United States--History--20 thcentury.', 'Andrea L.Harris. Winterson,Jeanette,--1959---Criticismand interpretation.', 'Woolf,Virginia,--1882-1941--Criticismandinterpretation.', 'Americanfiction--Womenauthors--Historyand criticism.', 'Hauser, Marianne--Criticismandinterpretation.', 'Barnes,Djuna--Criticismandinterpretation.', 'Difference(Psychology)inliterature.', 'Genderidentityinliterature.', 'Sexroleinliterature.']"
"Regeneratingthenovel:genderandgenrein Woolf,Forster, 2003",,1930,"['Englishfiction--20 thcentury--Historyandcriticism.', 'Genderidentityinliterature.', 'Lawrence,D.H.--(David Herbert),--1885-1930--Criticismandinterpretation.', 'Forster,E.M.--(Edward Sinclair,and Lawrence/James J.Miracky. Morgan),--1879-1970--Criticismandinterpretation.', 'Woolf,Virginia,--1882-1941--Criticismandinterpretation.', 'Sinclair,May--Criticismandinterpretation.', 'Literaryform--History--20 th century.:Modernism(Literature)--Great Britain.:Sexroleinliterature.']"
"Impressionistsubjects:gender, interiority, and modernistfictionin c 2000",,2025,"['Englishfiction--20 thcentury--Historyandcriticism.', 'Modernism(Literature)--Great Britain.', 'Genderidentityinliterature.', 'Impressionisminliterature.', 'Subjectivityin literature.', 'Masculinity England/Tamar Katz. inliterature.', 'Femininityin literature.', 'Sexroleinliterature.', 'Womeninliterature.', 'Selfinliterature.', 'Meninliterature. Page 16 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Chaucer's Pardonerandgendertheory:bodiesofdiscourse,2000,,"[""Chaucer,Geoffrey,---1400.--Pardoner'stale."", 'Chaucer,Geoffrey,---1400.--Canterburytales.--Prologue.', 'Homosexualityandliterature--England--History--To 1500.', 'Christianpilgrimsand Robert S.Sturges. pilgrimagesin literature.', 'Gender identityinliterature.', 'Storytellinginliterature.', 'Humanbodyinliterature.', 'Clergyinliterature.', 'Sexinliterature']"
Genderand language in Chaucer,Catherine S,1997,"['Cox. c 1997. Chaucer,Geoffrey,---1400--Characters--Women.', 'Englishlanguage--Middle English,1100-1500--Lexicology.', 'Chaucer,Geoffrey,---1400--Language.', 'Genderidentityinliterature.', 'Sexrolein literature.', 'Womenin literature.']"
Gender andthesacred selfin John Donne,Elizabeth M,1999,"['A. c 1999. Donne,John,--1572-1631--Criticismandinterpretation.', 'Genderidentityinliterature.', 'Holy,The,inliterature.', 'Sexroleinliterature.', 'Selfinliterature. Hodgson.']"
Malepretense:agenderstudyof Sir Philip Sidney'slife andtexts,c 1994,,"['Sidney,Philip,--1554-1586.', 'Homosexualityandliterature--England--History--16 thcentury.', 'Poets,English--Earlymodern,1500-1700--Biography.', 'Masculinityinliterature.', 'Genderidentity Katrina Bachinger. inliterature.', 'Sexrolein literature.']"
"Orientingmasculinity,orientingnation:W",,1996,"[""Somerset Maugham's 1996. Maugham,W.Somerset--(William Somerset),--1874-1965--Criticismandinterpretation."", 'Homosexualityandliterature--England--History--20 thcentury.', 'Psychologicalfiction,English-- exoticfiction/Philip Holden. Historyandcriticism.', 'Masculinityinliterature.', 'Genderidentityinliterature.', 'Racerelationsinliterature.', 'Exoticismin literature.', 'Asia--Inliterature.']"
Genderingthenation studiesinmodern Scottish literature,edited c 1995,,"['Scottishliterature--20 thcentury--History and criticism.', 'Literatureandsociety--Scotland--History--20 thcentury.', 'Genderidentityinliterature.', 'Nationalismin literature.', 'Sexroleinliterature. by Christopher Whyte.']"
Horse,Geraldine Brooks,2022,"['Race horses--Fiction.', 'Slavery--Fiction.', 'Racism--Fiction.', 'African Americanhorsemenand horsewomen--Fiction.', 'Painting--Fiction.', 'Horsesinart--Fiction.', 'Kentucky--Fiction.']"
Thequeerrenaissance:contemporary Americanliteratureandthe c 1997,,1970,"[""Gays'writings, American--Historyandcriticism."", 'Homosexualityandliterature--United States--History--20 thcentury.', 'Literature andsociety--United States--20 thcentury--Historyand reinventionoflesbian and gayidentities /Robert Mc Ruer. criticism.', 'Americanliterature--20 thcentury--History andcriticism.', 'United States--Civilization--1970-', 'Genderidentityinliterature.', 'Lesbiansinliterature.', 'Gaymeninliterature.']"
Writingthrough Jane Crow:raceandgenderpolitics in African 2014,,,"['Americanliterature--African Americanauthors--Historyandcriticism.', 'American literature--Womenauthors--Historyandcriticism.', 'American literature--20 thcentury--Historyandcriticism.', 'Americanliterature/Ayesha K. Hardison. African Americanwomeninliterature.', 'Racism in literature.', 'Sexdiscriminationinliterature.']"
Thegrammarofgood intentions:raceandtheantebellum culture 2003,,,"['Americanliterature--19 thcentury--Historyandcriticism.', 'United States--Racerelations--History--19 thcentury.', 'Benevolence--Socialaspects--United States.', 'Racerelationsinliterature.', 'ofbenevolence/Susan M.Ryan. Benevolenceinliterature.', 'Racisminliterature.', 'Race inliterature.']"
"Idon'thatethe South:reflections on Faulkner,family,andthe 2007",,1962,"['Americanliterature--Southern States--Historyandcriticism.', 'Faulkner,William,--1897-1962--Criticismandinterpretation.', 'Americanliterature--African Americanauthors--Historyand South Houston A. Baker,Jr. criticism.', 'Southern States--Inliterature.', 'Southern States--Racerelations.', 'Racism--Southern States.', 'Baker,Houston A.,--Jr.,--1943-', 'African Americancollegeteachers--Biography.', 'African Americanfamilies--Southern States--Biography.']"
Haunted bodies:genderandsoutherntexts,editedby Anne 1997,,"['Americanliterature--Southern States--Historyand criticism.', 'Literatureandsociety--Southern States.', 'Southern States--Historiography.', 'Southern States--Inliterature.', 'Genderidentityin Goodwyn Jonesand Susan V.Donaldson. literature.', 'Southern States--Civilization.', 'Humanbodyinliterature.', 'Raceinliterature.', 'Sexinliterature.']"
Writing,teaching: essaystowardarhetoricofpedagogy/Paul c 2000,,"['Americanpoetry--20 thcentury--Studyandteaching.', 'Genderidentityinliterature--Studyandteaching.', 'Sexroleinliterature--Studyandteaching.', 'Raceinliterature--Studyandteaching.', 'Kameen. Teachingteams.', 'Dialectic.', 'Teaching.', 'Socrates.', 'Plato.']"
Fetteredgenius:the African Americanbardicpoetfromslaveryto 2006,,,"['Americanpoetry--African Americanauthors--Historyand criticism.', 'African Americans--Intellectual life.', 'Civilrightsmovementsinliterature.', 'Antislaverymovementsinliterature.', 'Bardsand civilrights/Keith D. Leonard. |bardisminliterature.', 'African Americansinliterature.', 'Racerelationsin literature.', 'Slaveryinliterature.', 'Racisminliterature.', 'Raceinliterature.']"
Inventingblackwomen:African Americanwomenpoetsand self- c 2007,,2000,"['Americanpoetry--African Americanauthors--Historyand criticism.', 'Womenandliterature--United States--History--19 thcentury.', 'Womenand literature--United States--History--20 th representation,1877-2000/Ajuan Maria Mance. century.', 'African Americanwomen--Intellectuallife--19 thcentury.', 'African Americanwomen--Intellectuallife--20 thcentury.', 'Americanpoetry--Womenauthors--Historyandcriticism.', 'African Americanwomeninliterature.', 'African Americansinliterature.:Racerelationsinliterature.', 'Genderidentityin literature.']"
Readingrace:white Americanpoetsandtheracialdiscourseinthe c 1988,,,"['American poetry--20 thcentury--Historyandcriticism.', 'Americanpoetry--Whiteauthors--Historyandcriticism.', 'Raceinliterature.', 'Racerelationsinliterature.', 'Racisminliterature.', 'African twentiethcentury/Aldon Lynn Nielsen. Americansinliterature.']"
Aquestionofcharacter : scientificracism andthegenresof c 2000,,1912,"['Americanfiction--19 thcentury--Historyandcriticism.', 'Racism inliterature.', 'Americanfiction--20 thcentury--Historyandcriticism.', 'Literatureandscience--United States--History.', 'Characters Americanfiction,1892-1912/Cathy Boeckmann. andcharacteristicsinliterature.', 'Racediscriminationinliterature.', 'Passing(Identity)in literature.', 'African Americansinliterature.', 'Eugenicsinliterature.', 'Literaryform.']"
"Malerage,femalefury:gender andviolence incontemporary c 2000",,,"['American fiction--20 thcentury--Historyandcriticism.', 'Violenceinliterature.', 'Genderidentityinliterature.', 'Masculinityinliterature.', 'Femininityin literature.', 'Sexroleinliterature. Americanfiction/Marilyn Maxwell.']"
Questioningthemaster: genderandsexualityin Henry James's c 2000,,1916,"['James,Henry,--1843-1916--Criticismandinterpretation.', 'Sexinliterature.', 'Psychologicalfiction,American--Historyandcriticism.', 'Sex(Psychology)in literature.', 'Genderidentityin writings/editedby Peggy Mc Cormack. literature.', 'Sexrole inliterature.', 'Desireinliterature.']"
Henry Jamesandsexuality,Hugh Stevens,1998,"['James,Henry,--1843-1916--Criticismandinterpretation.', 'Homosexualityand literature--United States--History--19 thcentury.', 'Psychologicalfiction,American--Historyandcriticism.', 'Sex (Psychology)inliterature.', 'Genderidentityinliterature.', 'Sexroleinliterature.', 'Desireinliterature.']"
Sarah Orne Jewett:reconstructinggender,Margaret Roman,1992,"['Jewett,Sarah Orne,--1849-1909--Criticismandinterpretation.', 'Womenandliterature--Maine--History--19 thcentury.', 'Genderidentityinliterature.', 'Sexroleinliterature.', 'Womeninliterature.', 'Maine--In literature. Page 17 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Dazzlingdialectics:Elizabeth Bishop'sresonatingfeministreality,c 1997,1911,"['Bishop, Elizabeth,--1911-1979--Political and socialviews.', 'Feminismandliterature--United States--History--20 thcentury.', 'Womenandliterature--United States--History--20 thcentury.', 'Sally Bishop Shigley. Genderidentityinliterature.', 'Sexrolein literature.', 'Lesbiansin literature.']"
Deviantmodernism: sexualandtextualerrancyin T,,1998,"['S.Eliot, 1998. Eliot,T.S.--(Thomas Stearns),--1888-1965--Criticismand interpretation.', 'Proust, Marcel,--1871-1922.--Alarecherche dutempsperdu.', 'Joyce,James,--1882-1941.--Ulysses.', 'Paraphiliasin James Joyce,and Marcel Proust/Colleen Lamos. literature.', 'Genderidentityin literature.', 'Masculinityinliterature.', 'Modernism(Literature)', 'Sexinliterature.', 'Meninliterature.']"
"Faulkner'ssexualities:Faulknerand Yoknapatawpha,2007",edited c 2010,1962,"['Faulkner,William,--1897-1962--Criticismandinterpretation--Congresses.', 'Faulkner,William,--1897-1962--Sexualbehavior--Congresses.', 'Faulkner,William,--1897-1962--Aesthetics-- by Annette Trefzerand Ann J. Abadie. Congresses.', 'Sexin literature--Congresses.', 'Sex(Psychology)inliterature--Congresses.', 'Genderidentityinliterature--Congresses.']"
Hemingway'sfetishism :psychoanalysis and themirrorof c 1999,,1961,"['Hemingway,Ernest,--1899-1961--Knowledge--Psychology.', 'Psychoanalysisandliterature--United States--History--20 thcentury.', 'Psychologicalfiction,American--Historyandcriticism.', 'manhood/Carl P.Eby. Authors,American--20 thcentury--Psychology.', 'Hemingway,Ernest,--1899-1961--Psychology.', 'Genderidentityinliterature.', 'Masculinityinliterature.', 'Fetishisminliterature.', 'Menin literature.']"
Hemingway'sgenders rereadingthe Hemingwaytext,Nancy R,1994,"['Hemingway,Ernest,--1899-1961--Criticismandinterpretation.', 'Masculinityinliterature.', 'Genderidentity inliterature.', 'Sexroleinliterature. Comleyand Robert Scholes.']"
"Anaïs Nin andtheremakingofself:gender, modernism,and 1998",,1903,"['Nin,Anaïs,--1903-1977--Criticismandinterpretation.', 'Psychoanalysisand literature--United States--History--20 thcentury.', 'Womenandliterature--United States--History--20 thcentury.', 'narrativeidentity/Diane Richard-Allerdyce. Psychologicalfiction,American--Historyand criticism.', 'Modernism(Literature)--United States.', 'Sex(Psychology)inliterature.', 'Genderidentityinliterature.', 'Narration(Rhetoric)', 'Selfin literature.', 'Fiction--Technique.', 'Lacan,Jacques.--1901-1981.']"
Richard Wright and racialdiscourse,Yoshinobu Hakutani,1996,"['Wright, Richard,--1908-1960--Criticism andinterpretation.', 'Wright,Richard,--1908-1960--Politicalandsocialviews.', 'Literatureandsociety--United States--History--20 thcentury.', 'African Americansinliterature.', 'Racerelationsinliterature.', 'Racismin literature.']"
"Iknowwhythe cagedbird sings, by Maya Angelou","editor, c 2010",,"['Angelou,Maya.--Iknowwhythe cagedbirdsings.', 'African Americansinliterature.', 'Racisminliterature.', 'Southern States--Inliterature. Mildred R.Mickle.']"
Goodboy:mylifeinsevendogs,Jennifer Finney Boylan,2021,"['Boylan,Jennifer Finney,--1958-', 'Novelists, American--20 thcentury--Biography.', 'Transgenderpeople--United States--Biography.', 'Dogowners--United States--Biography.', 'Dogs--United States--Biography.', 'Human-animalrelationships.']"
Everyday,David Levithan,2013,"['Transmigration--Ffiction.', 'Interpersonalrelations--Fiction.', 'Genderidentity--Fiction.', 'Identity(Philosophicalconcept)--Fiction.', 'Romancefiction.']"
"Everybody's America:Thomas Pynchon,race, andtheculturesof 2008",,,"['Pynchon,Thomas--Criticism andinterpretation.', 'Postmodernism(Literature)--United States.', 'Raceinliterature.', 'Racisminliterature.', 'Racerelationsinliterature.', 'Multiculturalismin postmodernism/David Witzling. literature.', 'African Americansinliterature.', 'African Americans--Raceidentity.', 'Whitesinliterature.', 'Politicsandliterature--United States--History--20 thcentury.']"
Anne Riceandsexualpolitics:the earlynovels,by James R,2000,"['Rice,Anne,--1941---Criticismandinterpretation.', 'Genderidentityinliterature.', 'Sexin literature. Keller', 'withconclusionby James R. Kellerand Gwendolyn Morgan.']"
Apsalmforthewild-built,Becky Chambers,2021,"['Robots--Fiction.', 'Monks--Fiction.', 'Mythology--Fiction.', 'Self-consciousness(Awareness)--Fiction.', 'Gender-nonconformingpeople--Fiction.']"
Bodylanguage,by Kelly Magee,2006,"['Genderidentity--Fiction.', 'Lesbians--Fiction.', 'Southern States--Sociallifeandcustoms--Fiction.']"
Summer fun,Jeanne Thornton,2021,"['Transgenderwomen--Fiction.', 'Transgenderpeople--Fiction.', 'Identity(Psychology)--Fiction.', 'Touristcamps,hostels,etc.--New Mexico--Fiction.', 'Popularmusic--Fiction.', 'Popularmusicfans-- Fiction.', 'Musicians--Fiction.', 'Fans(Persons)--Fiction.', 'Fanmail--Fiction.', 'Letterwriting--Fiction.', 'Truthor Consequences(N.M.)--Fiction.']"
Brainstorm:theflawsinthescienceofsexdifferences,Rebecca 2010,,"['Brain--Sexdifferences.', 'Sex(Biology)', 'Sex(Psychology)', 'Brain--Physiology.', 'Genderidentity.', 'Sex. M.Jordan-Young.']"
"Man&woman,boy&girl:genderidentityfrom conceptionto 1996",,,"['Sexdifferentiation.', 'Sexdifferentiationdisorders.', 'Sexualdimorphism(Animals)', 'Psychosexualdevelopment.', 'Psychosexualdisorders.', 'Genderidentity. maturity/John Money, Anke A. Ehrhardt.']"
Theautobiographyofatransgenderscientist,Ben Barres; 2020,1954,"['|Barres,Ben,--1954-2017.', 'Neurobiologists--United States--Biography.', 'Transgenderpeople--United States--Biography. forewordby Nancy Hopkins.']"
"Designingand conductinggender, sex,& healthresearch","editors, c 2012",,"['Medicine--Research.', 'Biology--Research.', 'Genderidentity--Research.', 'Sexology--Research. John L.Oliffe,Lorraine Greaves.']"
"Purityandpollution :gender,embodiment,and Victorianmedicine 1998",,,"['Socialmedicine--History--19 thcentury.', 'Humanbody--Socialaspects--History--19 thcentury.', 'Womeninmedicine--History--19 thcentury.', 'Sexrole--History--19 thcentury.', 'Genderidentity-- /Alison Bashford. History--19 thcentury.', 'Feministtheory.']"
Dyingofwhiteness:howthepolitics ofracialresentment iskilling [2019] Medicalpolicy--United States,,,"['Publichealth--United States.', 'United States--Racerelations--Politicalaspects.', 'Racism--Politicalaspects--United States.', ""Whites--Healthandhygiene--United America'sheartland/Jonathan M. Metzl. |States."", 'Whites--United States--Social conditions--21 stcentury.', 'Tennessee.', 'Missouri.', 'Kansas.']"
Dyingofwhiteness:howthepoliticsofracialresentmentiskilling [2019] Medicalpolicy--United States,,2025,"['Public health--United States.', 'United States--Racerelations--Political aspects.', 'Racism--Politicalaspects--United States.', ""Whites--Healthandhygiene--United America'sheartland/Jonathan M. Metzl. |States."", 'Whites--United States--Socialconditions--21 stcentury.', 'Tennessee.', 'Missouri.', 'Kansas. Page 18 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Dyingofwhiteness:howthepoliticsofracialresentment iskilling 2020,,,"['Medicalpolicy--United States.', 'Publichealth--United States.', 'Healthservicesaccessibility--United States.', 'United States--Racerelations--Politicalaspects.', ""Racism--Politicalaspects--United America'sheartland/Jonathan M. Metzl. |States."", 'Whitepeople--Healthand hygiene--United States.', 'Whitepeople--United States--Socialconditions--21 stcentury.', 'Tennessee.', 'Missouri.', 'Kansas.']"
Thepsychobiologyoftranssexualismandtransgenderism: anew [2015] Transsexualism,,,"['Gendernonconformity.', 'Transsexualism--Psychologicalaspects.', 'Gendernonconformity--Psychologicalaspects.', 'Transsexualism--Physiologicalaspects.', 'Gender viewbasedonscientificevidence/Thomas E.Bevan,Ph D. nonconformity--Physiologicalaspects.']"
Asnaturemadehim theboywhowasraised asa girl,"John 2006, c 2001",1965,"['Reimer, David,--1965-', 'Transsexuals--Canada--Biography.', 'Sexchange--Casestudies.', 'Genderidentity.', 'Natureandnurture. Colapinto.']"
Between XXand XY :intersexualityand themythoftwosexes,c 2009,,"['Intersexuality.', 'Genderidentitydisorders.', 'Gender identity.', 'Andrology. Gerald N. Callahan.']"
Bodies indoubt:an Americanhistoryofintersex,Elizabeth Reis,2009,"['Intersexuality--United States--History.', 'Genderidentity--United States--History.', 'Intersexpeople--Identity--Socialaspects--United States.']"
"Race,ethnicity,and disability:veteransand benefitsinpost-Civil 2010",,,"['United States--History--Veterans--Pensions.--Civil War, 1861-1865', 'Disabledveterans--Pensions--History--United States--19 thcentury.', 'African Americanveterans--Pensions--History--19 th War America/Larry M.Logue,Peter Blanck. century.', 'Militarypensions--United States--Civil War,1861-1865.', 'Racism--United States--History--19 thcentury.', 'United States--Racerelations--History--19 thcentury.', 'Immigrants--United States--Socialconditions--19 thcentury.', 'Veterans--United States--Social conditions--19 thcentury.', 'United States.--Army--Minorities--History--19 thcentury.']"
Managingdiversityinthemilitary researchperspectivesfromthe c 2001,,,"['United States--Armed Forces--Personnel management.', 'United States--Armed Forces--Minorities.', 'Diversityintheworkplace--United States. Defense Equal Opportunity Management Institute/Mickey R. Dansby,James B.Stewart,Schuyler C.Webb, editors.']"
Managingdiversityinthemilitary:thevalueofinclusionina 2012,,,"['United States--Armed Forces--Personnelmanagement.', 'United States--Armed Forces--Minorities.', 'Diversityintheworkplace--United States. cultureofuniformity/edited by Daniel P.Mc Donaldand Kizzy M. Parks.']"
"Diversity,equity,andinclusioninaction planning, leadership,and 2020",,,"['Librariesandminorities--United States.', 'Academiclibraries--Servicesto minorities--United States.', 'Minoritylibraryemployees--United States.', 'Diversityintheworkplace--United States.', 'programming/editedby Christine Bombaro. Academiclibraries--United States--Sociologicalaspects.', 'Academic libraries--United States--Casestudies.', 'Socialjustice--United States.']"
"Implementingexcellenceindiversity,equity, andinclusion:a 2022",,,"['Diversityintheworkplace.', 'Academic libraries--Personnelmanagement.', 'Multiculturalism.', 'Librariesandminorities.', 'Minoritylibraryemployees.', 'Academic libraries--Servicestominorities.', 'handbookforacademiclibraries/edited by Corliss Leeand Brian Academic libraries--Casestudies. Lym', 'with Tatiana Bryant,Jonathan Cain,and Kenneth Schlesinger. Page 19']"
